genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,sample,substrate,country,origin,assign,database
GCF_004359375.1_ASM435937v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus,Acetilactobacillus jinshanensis,NCBI,RefSeq,GCF_004359375.1,Type material of Acetilactobacillus jinshanensis,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK040-1-L-48h-03F2_S66__bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter aceti_B,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0007-002_Acetobacter_pasteurianus_subsp._ascendens_LMG_1591T,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter ascendens,Whon et al. 2021,complete,NA,vinegar,fruit,Netherlands,Netherlands,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0114-002_Acetobacter_cerevisiae_LMG_1625,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter cerevisiae,Whon et al. 2021,draft,NA,beer,grains,Belgium,Belgium,prokaryote,MiFoDB_gamma_v1_prok
WalshAM_2016__ERR1653130__bin.2,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter fabarum,Pasolli et al. 2020,MAG,NA,milk kefir 24 hours Day 2,dairy,France,France,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF14__bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter ghanensis,Carlino et al. 2024,MAG,NA,milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter indonesiensis,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeRoosJ_2020__B3M__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter lambici,Carlino et al. 2024,MAG,NA,lambic_beer,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter lovaniensis,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK067-1-L-48h-05C1_S71__bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter malorum subsp. 1,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK022-1-L-48h-02F8_S113__bin.6,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter malorum subsp. 2,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5652903__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter malorum_A,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_011516835.1_ASM1151683v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter musti,NCBI,RefSeq,GCF_011516835.1,Isolated organism,fruit,Belgium,Spain,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5653126__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter okinawensis_A,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK042-1-L-48h-03G1_S74__bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter orientalis,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0116-001_Acetobacter_orleanensis_LMG_1583,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter orleanensis,Whon et al. 2021,Unknown,NA,beer,grains,Belgium,Belgium,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5653137__bin.6,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter oryzifermentans,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF53__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter oryzoeni,Carlino et al. 2024,MAG,NA,cassava,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK001-2-L-48h-01F4_S28__bin.6,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter papayae,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF31__bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter peroxydans,Carlino et al. 2024,MAG,NA,fermented_malted_sorghum,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin.6,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter persici,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002738225.1_ASM273822v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter pomorum,NCBI,RefSeq,GCF_002738225.1,Type strain of Acetobacter pomorum,NA,South Korea,South Korea,prokaryote,MiFoDB_gamma_v1_prok
GCF_001499615.1_Acetobacter_senegalensis_108B_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter senegalensis,NCBI,RefSeq,GCF_001499615.1,NA,NA,Belgium,Belgium,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5653217__bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 1,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK064-2-L-48h-05A5_S57__bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 2,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK050-1-L-48h-04C8_S126__bin.12,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 3,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK028-1-L-08h-02I7_S17__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 4,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967724__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 5,Carlino et al. 2024,MAG,NA,NA,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5652995__bin.9,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 6,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
CM_INJERA__injera_E2__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 7,Carlino et al. 2024,MAG,NA,teff,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967722__bin.9,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 8,Carlino et al. 2024,MAG,NA,NA,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshL_xxxx__D12__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sp. 9,Carlino et al. 2024,MAG,NA,milk_kefir,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK040-2-L-48h-03F4_S68__bin.4,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter syzygii,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
PothakosV_2020__ERS2068302__bin.7,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter thailandicus,Carlino et al. 2024,MAG,NA,coffee_arabica,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001580945.1_ASM158094v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter tropicalis,NCBI,RefSeq,GCF_001580945.1,NA,NA,Belgium,Belgium,prokaryote,MiFoDB_gamma_v1_prok
LiZ_2018__SRS2920551__bin.21,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_C,Achromobacter,Achromobacter sp001270295,Carlino et al. 2024,MAG,NA,pu-erh_tea,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
C-R09.bin.5,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,Kothe et al. 2021,MAG,NA,raw araxa cheese,dairy,Brazil,"Minas Gerais, Brazil",prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2517__bin.17,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium jensenii,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967734__bin.8,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium thoenii,Carlino et al. 2024,MAG,NA,ginger_sliced_in_2percent_brine,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2517__bin.16,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_004346035.1_ASM434603v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidomonas,Acidomonas methanolica,NCBI,RefSeq,GCF_004346035.1,NA,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-18__bin.18,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Acidovorax_A,Acidovorax_A valerianellae,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-19__bin.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Acidovorax_A,Acidovorax_A wautersii,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__M-26.1__bin.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter albensis,Carlino et al. 2024,MAG,NA,cheese_rind_2_t15,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_2__VB06-25__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Carlino et al. 2024,MAG,NA,fresh_cheese_a_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_111__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter fasciculus,Carlino et al. 2024,MAG,NA,salame_piacentino,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_2__VB06-21__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter guillouiae,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__F06-31B__bin.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter harbinensis,Carlino et al. 2024,MAG,NA,meat_batter,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_2__VB11-26__bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Carlino et al. 2024,MAG,NA,fresh_cheese_b_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__PM002_71775__bin.13,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter junii,Carlino et al. 2024,MAG,NA,provolone_del_monaco,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-16__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. 1,Carlino et al. 2024,MAG,NA,pre_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__C04-17__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. 2,Carlino et al. 2024,MAG,NA,cured_meat_before_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2232_73323__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. 3,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ChaconVargasK_2020__SRS6087094__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. 4,Carlino et al. 2024,MAG,NA,aguamiel_pulque,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__DC18-02__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp002135205,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.53,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_C,Advenella,Advenella sp002810445,Carlino et al. 2024,MAG,NA,ripened_cheese_c1_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.19,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_C,Advenella,Advenella sp003533245,Carlino et al. 2024,MAG,NA,ripened_cheese_c1_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2232_73323__bin.8,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaeequi,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LiZ_2018__SRS2920550__bin.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium camelliae,Carlino et al. 2024,MAG,NA,pu-erh_tea,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__VB-05-BD__bin.48,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp. 1,Carlino et al. 2024,MAG,NA,ripened_cheese_d2_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-17__bin.22,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp. 2,Carlino et al. 2024,MAG,NA,pre_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__R01-19__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Aeromonadaceae,Aeromonas,Aeromonas bestiarum,Carlino et al. 2024,MAG,NA,fresh_meat_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
Imad_S-7-b.bin.11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas caviae,Kothe et al. 2022,MAG,NA,serdaleh,dairy,Lebanon,Lebanon,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__V-21__bin.24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Aeromonadaceae,Aeromonas,Aeromonas rivipollensis,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001436375.1_ASM143637v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus composti,NCBI,RefSeq,GCF_001436375.1,Composting material of distilled shochu residue,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_003946725.1_ASM394672v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus yilanensis,NCBI,RefSeq,GCF_003946725.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-18__bin.41,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium cavarae,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__V-25.1__bin.6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense,Carlino et al. 2024,MAG,NA,cheese_rind_1_t15,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
PothakosV_2020__ERS2068299__bin.21,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rhizogenes_B,Carlino et al. 2024,MAG,NA,coffee_arabica,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__V-26.1__bin.11,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium sp005938205,Carlino et al. 2024,MAG,NA,cheese_rind_2_t15,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__G-18__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens_C subsp. 1,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__G-16__bin.4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens_C subsp. 2,Carlino et al. 2024,MAG,NA,pre_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__VB-12D__bin.11,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus casei,Carlino et al. 2024,MAG,NA,ripened_cheese_d1_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__Q01-22__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Aidingimonas,Aidingimonas lacisalsi,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WolfeBE_2014__671_Grayson__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_C,Alcaligenes,Alcaligenes aquatilis,Carlino et al. 2024,MAG,NA,grayson,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LiZ_2018__SRS2920550__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_C,Alcaligenes,Alcaligenes sp023425645,Carlino et al. 2024,MAG,NA,pu-erh_tea,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2136_73322__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp000155615,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0014-003_Alishewanella_jeotgali_KCTC_22429,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alishewanella,Alishewanella jeotgali,Whon et al. 2021,draft,NA,fermented seafoods,seafood,South Korea,South Korea,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__VB-15-M12__bin.17,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,Alkalibacterium gilvum,Carlino et al. 2024,MAG,NA,ripened_cheese_d2_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_3__VB07-30__bin.25,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,Alkalibacterium putridalgicola,Carlino et al. 2024,MAG,NA,ripened_cheese_b_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_118__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,Alkalibacterium sp.,Carlino et al. 2024,MAG,NA,roquefort,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-18__bin.26,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Alkanindiges sp.,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF06__bin.8,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alloiococcus,Alloiococcus sp.,Carlino et al. 2024,MAG,NA,locust_bean,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshL_xxxx__H3_S87__bin.16,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Alloprevotella,Alloprevotella sp004552155,Carlino et al. 2024,MAG,NA,milk_kefir_contamined,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001434555.1_ASM143455v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,Amylolactobacillus amylophilus,NCBI,RefSeq,GCF_001434555.1,Swine waste-corn fermentation,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_3__VB07-30__bin.41,Bacteria,Bacillota_A,Clostridia,Tissierellales,SIT17,Anaeromonas,Anaeromonas sp.,Carlino et al. 2024,MAG,NA,ripened_cheese_b_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_59__bin.12,Bacteria,Bacillota_A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerosphaera,Anaerosphaera sp.,Carlino et al. 2024,MAG,NA,gorgonzola,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshL_xxxx__H3_S87__bin.2,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Anaerovibrio sp900548165,Carlino et al. 2024,MAG,NA,milk_kefir_contamined,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__KM-4D__bin.40,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Ancrocorticia,Ancrocorticia populi,Carlino et al. 2024,MAG,NA,ripened_cheese_d3_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__FO011_71775__bin.8,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Ancrocorticia,Ancrocorticia sp.,Carlino et al. 2024,MAG,NA,fontina,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__R-32__bin.23,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus_G,Carlino et al. 2024,MAG,NA,ice_cream_skim_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
