Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,collection_month,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Ph,Platform,producer,ReleaseDate,create_date,version,salinity,Sample Name,SRA Study,temperature
SRR20308665,AMPLICON,600,9310800,PRJNA860091,SAMN29828104,Metagenome or environmental,5810541,DTU,2019,May,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16341982,Lebanon,Asia,Lebanon,Labneh,Illumina MiSeq,Surface,33.92 N 35.85 E,L-18,PAIRED,PCR,METAGENOMIC,metagenome,4.26,ILLUMINA,P18,2023-04-11T00:00:00Z,2022-07-19T11:27:00Z,1,1.7533333333333332,L18,SRP387050,34
SRR20308680,AMPLICON,600,19564200,PRJNA860091,SAMN29828073,Metagenome or environmental,12034118,DTU,2019,May,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16341967,Lebanon,Asia,Lebanon,Ambriss,Illumina MiSeq,Surface,33.838 N 35.912 E,A-2,PAIRED,PCR,METAGENOMIC,metagenome,4.426666666666667,ILLUMINA,P2,2023-04-11T00:00:00Z,2022-07-19T11:27:00Z,1,2.0833333333333335,A2,SRP387050,28
SRR20308687,AMPLICON,600,18660000,PRJNA860091,SAMN29828084,Metagenome or environmental,11661897,DTU,2019,May,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16341960,Lebanon,Asia,Lebanon,Serdaleh,Illumina MiSeq,Surface,34.43 N 35.84 E,S-8,PAIRED,PCR,METAGENOMIC,metagenome,3.7,ILLUMINA,P8,2023-04-11T00:00:00Z,2022-07-19T11:27:00Z,1,4.293333333333333,S8,SRP387050,22
SRR20308688,AMPLICON,600,19377000,PRJNA860091,SAMN29828083,Metagenome or environmental,12106922,DTU,2019,July,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16341959,Lebanon,Asia,Lebanon,Serdaleh,Illumina MiSeq,Surface,34.43 N 35.84 E,S-7-b,PAIRED,PCR,METAGENOMIC,metagenome,4.109999999999999,ILLUMINA,P7,2023-04-11T00:00:00Z,2022-07-19T11:27:00Z,1,4.013333333333333,S7-b,SRP387050,22
